               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10714,            0.028464,             0.04664,          0.00060902,             0.17457,          0.00060919,          0.00017317,            0.091389,            0.018073,            0.039001,              0.0964,              0.0004,              0.0004
                   1,             0.10465,            0.029159,            0.045669,          0.00027083,             0.11207,          0.00029318,          8.0285e-05,            0.088987,            0.017295,            0.038521,            0.091896,          0.00089554,          0.00089554
                   2,              0.1005,            0.028597,            0.044682,          0.00033333,             0.13793,          0.00091911,          0.00020458,            0.086488,            0.017751,            0.038066,            0.087386,           0.0013861,           0.0013861
                   3,             0.09685,            0.026512,            0.043855,          0.00032292,             0.13362,          0.00099999,          0.00019567,             0.08527,            0.018007,            0.037805,            0.082872,           0.0018718,           0.0018718
                   4,             0.09767,            0.029229,            0.043013,          0.00033336,             0.13793,          0.00093092,          0.00019765,            0.084292,            0.017698,            0.037537,            0.078352,           0.0023525,           0.0023525
                   5,            0.095028,            0.029154,            0.041827,          0.00035431,             0.14655,          0.00086462,          0.00021371,            0.083752,            0.017243,            0.037354,            0.073828,           0.0028282,           0.0028282
                   6,            0.095138,            0.027704,            0.040132,          0.00035554,             0.14655,          0.00097382,          0.00022604,            0.083097,            0.016994,            0.037105,            0.069299,            0.003299,            0.003299
                   7,             0.09119,            0.027683,            0.038126,          0.00034705,             0.14224,           0.0011941,          0.00027862,            0.082812,            0.017107,            0.036983,            0.064765,           0.0037649,           0.0037649
                   8,            0.089793,            0.028438,             0.03623,          0.00035466,             0.14224,           0.0022978,          0.00053832,            0.082506,            0.017248,            0.036877,            0.060226,           0.0042258,           0.0042258
                   9,            0.090004,            0.027243,            0.033803,          0.00079824,             0.21073,            0.006274,           0.0012131,            0.082429,            0.017338,            0.036882,            0.055682,           0.0046817,           0.0046817
                  10,            0.086958,            0.025581,            0.031216,           0.0026038,             0.37296,            0.011404,            0.002673,            0.082383,            0.016659,            0.036934,            0.051133,           0.0051327,           0.0051327
                  11,             0.08541,             0.02689,            0.028744,           0.0016216,             0.47534,             0.01566,           0.0053067,            0.082322,             0.01604,            0.037093,            0.046579,           0.0055787,           0.0055787
                  12,             0.08526,            0.026581,            0.026283,           0.0023629,              0.5737,            0.014708,           0.0055104,            0.082206,            0.016105,             0.03717,             0.04202,           0.0060198,           0.0060198
                  13,            0.085326,            0.025266,            0.028526,           0.0056619,             0.56939,            0.015805,            0.006342,             0.08171,            0.016311,            0.037016,            0.037456,            0.006456,            0.006456
                  14,            0.083718,            0.025885,            0.025905,           0.0074345,             0.61804,            0.018687,            0.006821,            0.080419,            0.016552,             0.03622,            0.032887,           0.0068872,           0.0068872
                  15,            0.086723,            0.025233,            0.023228,           0.0074268,             0.64929,            0.019601,           0.0067521,            0.079995,            0.016346,            0.035836,            0.028313,           0.0073134,           0.0073134
                  16,            0.084851,            0.026722,            0.020614,           0.0069292,              0.6536,            0.032859,           0.0099089,            0.078129,            0.014974,            0.034428,            0.023735,           0.0077347,           0.0077347
                  17,            0.084948,            0.025831,            0.018881,           0.0061459,             0.68138,            0.030926,           0.0089271,            0.076686,            0.014302,            0.033154,            0.019151,           0.0081511,           0.0081511
                  18,             0.07992,            0.028992,            0.019001,           0.0057825,             0.71709,             0.04398,            0.013164,            0.073622,            0.014082,            0.031588,            0.014562,           0.0085625,           0.0085625
                  19,            0.078513,            0.026912,            0.017963,           0.0042999,             0.74726,            0.050765,            0.015955,             0.06711,            0.013949,            0.025582,           0.0099689,           0.0089689,           0.0089689
                  20,            0.080706,            0.024795,            0.017573,             0.84144,            0.030172,            0.041284,            0.012243,            0.068651,            0.013693,             0.02398,             0.00901,             0.00901,             0.00901
                  21,            0.080168,            0.026001,            0.017218,             0.83602,             0.03845,            0.056033,            0.019112,            0.062635,            0.014215,            0.021603,             0.00901,             0.00901,             0.00901
                  22,            0.075763,            0.027729,            0.015335,             0.87176,            0.036895,            0.059981,            0.019226,            0.062182,            0.014107,            0.019205,           0.0089605,           0.0089605,           0.0089605
                  23,            0.074695,            0.027787,             0.01475,              0.8363,            0.038793,            0.070244,            0.020499,            0.059762,            0.013659,            0.015125,            0.008911,            0.008911,            0.008911
