               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12034,            0.028662,            0.045354,          0.00067116,             0.18119,          0.00053061,          0.00012889,             0.10481,            0.019703,            0.045542,              0.0919,              0.0009,              0.0009
                   1,             0.11166,            0.028317,            0.041987,           0.0011187,             0.30503,           0.0012082,          0.00032303,            0.091793,            0.018485,            0.039329,            0.082891,           0.0018906,           0.0018906
                   2,             0.10333,            0.026316,            0.039654,           0.0015125,             0.45341,            0.002312,           0.0004841,            0.088937,            0.017742,            0.035302,            0.073871,           0.0028713,           0.0028713
                   3,            0.098119,            0.025545,            0.038149,           0.0015922,             0.46687,           0.0037401,           0.0010137,            0.083637,            0.017429,            0.031295,            0.064842,           0.0038421,           0.0038421
                   4,            0.093589,            0.025745,            0.034591,           0.0021814,             0.65998,           0.0067733,           0.0017381,            0.079161,            0.016701,            0.026199,            0.055803,            0.004803,            0.004803
                   5,            0.090962,            0.025675,            0.031596,           0.0025277,             0.74071,            0.016604,           0.0060625,            0.076688,            0.015926,            0.023444,            0.046754,            0.005754,            0.005754
                   6,            0.086624,             0.02735,            0.025392,           0.0021871,             0.62151,            0.010488,           0.0030284,            0.078269,            0.014842,            0.022024,            0.037695,           0.0066951,           0.0066951
                   7,            0.086762,             0.02226,            0.024817,           0.0032197,             0.71278,            0.025294,             0.00798,            0.074335,            0.014431,            0.018721,            0.028626,           0.0076263,           0.0076263
                   8,            0.083559,            0.025828,            0.023385,           0.0025101,             0.65136,            0.016285,           0.0030932,            0.077704,            0.012916,            0.017397,            0.019548,           0.0085476,           0.0085476
                   9,            0.081984,            0.022485,            0.021633,           0.0075308,             0.79283,             0.15509,            0.064049,            0.075128,            0.013541,            0.015276,            0.010459,            0.009459,            0.009459
                  10,            0.078926,            0.024163,            0.017641,             0.76212,            0.077586,            0.054394,            0.015498,            0.073992,            0.013603,            0.013836,            0.009505,            0.009505,            0.009505
                  11,            0.075533,            0.024967,            0.019961,            0.012709,              0.7024,              0.1032,            0.031242,            0.069306,            0.014304,            0.013441,            0.009505,            0.009505,            0.009505
                  12,            0.073428,            0.024857,            0.015923,             0.53873,             0.20672,            0.084104,             0.01932,            0.068661,            0.014076,            0.012911,           0.0094555,           0.0094555,           0.0094555
                  13,            0.075735,            0.023694,            0.019779,             0.54806,             0.13039,            0.085198,            0.020474,            0.067164,            0.013953,            0.011641,            0.009406,            0.009406,            0.009406
                  14,            0.081058,            0.022826,            0.017117,             0.60315,             0.24138,             0.15206,            0.058689,            0.075635,            0.012804,            0.013193,           0.0093565,           0.0093565,           0.0093565
                  15,            0.074215,            0.024929,            0.017358,             0.80565,            0.081897,             0.24761,            0.097807,            0.061898,            0.014563,            0.013192,            0.009307,            0.009307,            0.009307
                  16,            0.074027,            0.023616,            0.015374,             0.82144,            0.086207,             0.23851,            0.096973,            0.063832,            0.014282,            0.012077,           0.0092575,           0.0092575,           0.0092575
                  17,            0.076545,            0.024541,            0.012794,             0.81719,              0.1243,             0.23175,            0.084863,            0.064739,            0.014168,            0.010908,            0.009208,            0.009208,            0.009208
                  18,            0.071656,            0.025774,            0.014664,             0.67409,             0.13147,             0.15057,             0.03469,            0.067211,            0.013209,            0.009426,           0.0091585,           0.0091585,           0.0091585
                  19,             0.06966,            0.024797,            0.013473,             0.74158,             0.15302,             0.23186,            0.092487,             0.06132,            0.014203,           0.0092599,            0.009109,            0.009109,            0.009109
                  20,            0.067297,            0.021569,            0.014972,             0.76586,             0.15731,              0.2822,             0.12939,            0.059787,             0.01416,           0.0092593,           0.0090595,           0.0090595,           0.0090595
                  21,            0.069134,            0.022855,            0.012592,             0.53792,             0.34567,             0.23658,             0.09879,            0.071219,            0.012165,           0.0084361,             0.00901,             0.00901,             0.00901
                  22,            0.071558,            0.023713,            0.012793,             0.67623,             0.30661,             0.35035,             0.15321,            0.060007,             0.01402,           0.0083493,           0.0089605,           0.0089605,           0.0089605
                  23,            0.066207,            0.024956,            0.011333,             0.72242,             0.32112,               0.401,             0.18217,            0.062327,            0.013111,           0.0081712,            0.008911,            0.008911,            0.008911
                  24,            0.069617,            0.023427,            0.011145,             0.72923,             0.33405,             0.37854,             0.18452,             0.06202,            0.012882,           0.0081536,           0.0088615,           0.0088615,           0.0088615
                  25,            0.066133,            0.020811,            0.011391,             0.65653,             0.35345,             0.31027,            0.092835,            0.059446,            0.012552,           0.0090269,            0.008812,            0.008812,            0.008812
                  26,            0.064223,            0.020217,            0.011334,             0.72178,             0.25216,               0.277,             0.08753,              0.0561,            0.012784,           0.0087308,           0.0087625,           0.0087625,           0.0087625
                  27,            0.064826,            0.020185,            0.012158,             0.70311,             0.31466,              0.3685,             0.15119,            0.054672,            0.012341,           0.0085195,            0.008713,            0.008713,            0.008713
                  28,            0.062452,            0.020822,            0.010959,             0.79029,             0.31897,             0.43601,             0.18783,            0.052884,            0.012664,           0.0087099,           0.0086635,           0.0086635,           0.0086635
                  29,            0.060439,            0.018941,            0.010467,             0.89931,             0.30058,             0.42596,             0.17106,            0.059056,            0.011634,           0.0079942,            0.008614,            0.008614,            0.008614
                  30,            0.064435,             0.02125,           0.0082495,             0.75795,             0.34199,             0.40812,             0.16472,            0.054393,            0.011403,           0.0077489,           0.0085645,           0.0085645,           0.0085645
                  31,            0.060149,            0.019563,            0.009152,              0.6926,             0.33944,             0.30163,             0.11252,            0.054435,            0.011264,           0.0074916,            0.008515,            0.008515,            0.008515
                  32,             0.05588,            0.018956,            0.009908,             0.74957,             0.35307,             0.34773,             0.14357,            0.049473,            0.011276,           0.0072588,           0.0084655,           0.0084655,           0.0084655
                  33,            0.056232,             0.01915,            0.011034,             0.71618,             0.34375,             0.35749,             0.17824,            0.059206,            0.010381,           0.0070509,            0.008416,            0.008416,            0.008416
                  34,            0.062759,            0.018413,           0.0092642,              0.2401,             0.59633,             0.45734,             0.20112,            0.050863,            0.011173,           0.0071051,           0.0083665,           0.0083665,           0.0083665
                  35,            0.058506,            0.017838,            0.010766,              0.8179,             0.39224,             0.44359,             0.23468,            0.049103,            0.011179,           0.0069348,            0.008317,            0.008317,            0.008317
                  36,            0.054415,             0.01907,            0.010457,             0.89984,             0.39066,              0.5188,             0.26085,            0.044786,            0.011293,           0.0068652,           0.0082675,           0.0082675,           0.0082675
                  37,            0.057883,            0.018332,            0.010962,             0.29312,             0.48591,              0.4605,             0.19038,            0.048704,            0.010979,           0.0067433,            0.008218,            0.008218,            0.008218
                  38,            0.060842,            0.016026,           0.0081211,             0.84321,             0.36918,             0.51642,             0.25602,            0.050148,            0.010126,           0.0063123,           0.0081685,           0.0081685,           0.0081685
                  39,            0.056115,            0.017929,           0.0084717,             0.36951,             0.55087,             0.52383,             0.28028,            0.047012,            0.010191,           0.0063228,            0.008119,            0.008119,            0.008119
                  40,            0.053254,            0.016743,           0.0099345,             0.81824,             0.37392,             0.45896,             0.18719,            0.045681,            0.010521,           0.0062495,           0.0080695,           0.0080695,           0.0080695
